district,rainfall_mm,elevation_m,slope_degree,river_distance_km,historical_risk,ai_risk_score,ai_risk_level
Idukki,280,900,28,3.0,85,85.53,Critical
Wayanad,300,850,30,2.8,88,85.53,Critical
Alappuzha,250,5,3,0.8,80,83.88,Critical
Ernakulam,190,25,9,1.5,70,73.23,High
Malappuram,220,100,20,2.0,68,73.22,High
Pathanamthitta,210,80,18,1.8,65,72.2,High
Kozhikode,200,35,11,1.7,62,70.68,High
Kollam,180,22,12,2.5,60,67.69,High
Palakkad,170,120,14,3.5,55,64.03,High
Kottayam,160,30,10,2.2,45,55.01,High
Kannur,150,40,9,3.2,45,52.62,High
Thrissur,140,45,7,4.0,40,48.54,Moderate
Thiruvananthapuram,120,35,8,4.5,35,43.57,Moderate
Kasaragod,110,30,6,5.0,25,39.17,Moderate
