district,rainfall_mm,elevation_m,slope_degree,river_distance_km,historical_risk,risk_score
Thiruvananthapuram,120,35,8,4.5,35,45
Kollam,180,22,12,2.5,60,68
Pathanamthitta,210,80,18,1.8,65,74
Alappuzha,250,5,3,0.8,80,88
Kottayam,160,30,10,2.2,45,55
Idukki,280,900,28,3.0,85,92
Ernakulam,190,25,9,1.5,70,76
Thrissur,140,45,7,4.0,40,48
Palakkad,170,120,14,3.5,55,65
Malappuram,220,100,20,2.0,68,78
Kozhikode,200,35,11,1.7,62,70
Wayanad,300,850,30,2.8,88,95
Kannur,150,40,9,3.2,45,52
Kasaragod,110,30,6,5.0,25,32
